Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Mexico,Guerrero,2020-04-30,534,64,2020_Q1,MX-GRO
Mexico,Guerrero,2020-08-30,15430,1954,2020_Q2,MX-GRO
Mexico,Guerrero,2020-12-31,11217,899,2020_Q3,MX-GRO
Mexico,Guerrero,2021-04-30,12924,1507,2021_Q1,MX-GRO
Mexico,Hidalgo,2020-04-30,509,54,2020_Q1,MX-HID
Mexico,Hidalgo,2020-08-30,10769,1649,2020_Q2,MX-HID
Mexico,Hidalgo,2020-12-31,14839,1926,2020_Q3,MX-HID
Mexico,Hidalgo,2021-04-30,12429,2558,2021_Q1,MX-HID
Mexico,Jalisco,2020-08-30,22528,2857,2020_Q2,MX-JAL
Mexico,Jalisco,2020-12-31,34399,4086,2020_Q3,MX-JAL
Mexico,Jalisco,2021-04-30,29131,5568,2021_Q1,MX-JAL
Mexico,Mexico,2020-04-30,7893,1031,2020_Q1,MX-MEX
Mexico,Mexico,2020-08-30,73401,12956,2020_Q2,MX-MEX
Mexico,Mexico,2020-12-31,84306,9717,2020_Q3,MX-MEX
Mexico,Mexico,2021-04-30,85117,13270,2021_Q1,MX-MEX
Mexico,Michoacan de Ocampo,2020-04-30,528,53,2020_Q1,MX-MIC
Mexico,Michoacan de Ocampo,2020-08-30,16884,1397,2020_Q2,MX-MIC
Mexico,Michoacan de Ocampo,2020-12-31,18295,1600,2020_Q3,MX-MIC
Mexico,Michoacan de Ocampo,2021-04-30,12432,2778,2021_Q1,MX-MIC
Mexico,Morelos,2020-04-30,728,106,2020_Q1,MX-MOR
Mexico,Morelos,2020-08-30,5156,1006,2020_Q2,MX-MOR
Mexico,Morelos,2020-12-31,6265,695,2020_Q3,MX-MOR
Mexico,Morelos,2021-04-30,21566,1704,2021_Q1,MX-MOR
Mexico,Nayarit,2020-08-30,5284,660,2020_Q2,MX-NAY
Mexico,Nayarit,2020-12-31,2860,452,2020_Q3,MX-NAY
Mexico,Nayarit,2021-04-30,3740,701,2021_Q1,MX-NAY
Mexico,Nuevo Leon,2020-08-30,32363,2756,2020_Q2,MX-NLE
Mexico,Nuevo Leon,2020-12-31,55452,3728,2020_Q3,MX-NLE
Mexico,Nuevo Leon,2021-04-30,34351,3246,2021_Q1,MX-NLE
Mexico,Oaxaca,2020-08-30,15419,1551,2020_Q2,MX-OAX
Mexico,Oaxaca,2020-12-31,15119,902,2020_Q3,MX-OAX
Mexico,Oaxaca,2021-04-30,16094,1437,2021_Q1,MX-OAX
Mexico,Puebla,2020-04-30,1158,169,2020_Q1,MX-PUE
