"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"188","Alagoas","AL",2021-09-19,397,381.982087189774,66061.2119170581,15.0179128102264,1.03931575148121
"189","Alagoas","AL",2021-09-26,341,377.931613697441,66065.7012444528,-36.9316136974406,0.902279639069816
"190","Alagoas","AL",2021-10-03,252,374.073496146639,66070.1873344192,-122.073496146639,0.673664407117511
"191","Alagoas","AL",2021-10-10,143,370.854962496727,66074.6702551095,-227.854962496727,0.385595487349754
"192","Alagoas","AL",2021-10-17,84,368.715128266867,66079.1500746763,-284.715128266867,0.227818154342729
"193","Alagoas","AL",2021-10-24,41,368.089807464558,66083.626861272,-327.089807464558,0.111385860647466
"194","Amapá","AP",2020-01-05,15,60.868793766663,16073.1595655208,-45.868793766663,0.246431694662813
"195","Amapá","AP",2020-01-05,48,60.9012804732668,16073.1595655208,-12.9012804732668,0.788160768164309
"196","Amapá","AP",2020-01-12,76,61.4318126975875,16078.6702971548,14.5681873024125,1.23714402461356
"197","Amapá","AP",2020-01-19,63,62.2192129800325,16084.178206656,0.780787019967541,1.01254896972448
"198","Amapá","AP",2020-01-26,72,63.2107512774335,16089.6832085457,8.78924872256652,1.13904673722339
"199","Amapá","AP",2020-02-02,67,64.3522336849522,16095.1852173451,2.64776631504783,1.04114490148097
"200","Amapá","AP",2020-02-09,59,65.5863578868588,16100.6841475755,-6.58635788685883,0.89957731913974
"201","Amapá","AP",2020-02-16,73,66.8551017828643,16106.179913758,6.14489821713575,1.09191367679154
"202","Amapá","AP",2020-02-23,53,68.1224644099199,16111.6724304139,-15.1224644099199,0.778010608674959
"203","Amapá","AP",2020-03-01,95,69.361831922717,16117.1616120645,25.638168077283,1.36962933888264
"204","Amapá","AP",2020-03-08,71,70.5448276330059,16122.6473732309,0.455172366994105,1.0064522429534
"205","Amapá","AP",2020-03-15,57,71.6414267263133,16128.1296284345,-14.6414267263133,0.795629045995316
"206","Amapá","AP",2020-03-22,58,72.6215910761288,16133.6082921965,-14.6215910761288,0.798660551779965
"207","Amapá","AP",2020-03-29,53,73.4747694831022,16139.083279038,-20.4747694831022,0.721336050087085
"208","Amapá","AP",2020-04-05,81,74.2066424008608,16144.5545034804,6.7933575991392,1.09154648936199
"209","Amapá","AP",2020-04-12,80,74.8243461100473,16150.0218800449,5.17565388995267,1.06917071994643
"210","Amapá","AP",2020-04-19,90,75.3359379968881,16155.4853232527,14.6640620031119,1.19464896028397
"211","Amapá","AP",2020-04-26,88,75.7499222912777,16160.944747625,12.2500777087223,1.16171736337389
"212","Amapá","AP",2020-05-03,110,76.0623626897409,16166.4000676831,33.9376373102591,1.44618173969551
"213","Amapá","AP",2020-05-10,165,76.2526489710243,16171.8511979482,88.7473510289757,2.16385925245298
"214","Amapá","AP",2020-05-17,208,76.2993703657556,16177.2980529416,131.700629634244,2.72610375423693
"215","Amapá","AP",2020-05-24,230,76.1818050488026,16182.7405471845,153.818194951197,3.01909359922176
"216","Amapá","AP",2020-05-31,182,75.8804248552088,16188.1785951981,106.119575144791,2.39851055588161
"217","Amapá","AP",2020-06-07,148,75.3961742647155,16193.6121115037,72.6038257352845,1.96296432071438
"218","Amapá","AP",2020-06-14,131,74.7731902226347,16199.0410106225,56.2268097773653,1.7519648367276
"219","Amapá","AP",2020-06-21,104,74.0608062968776,16204.4652070757,29.9391937031224,1.40425152250043
"220","Amapá","AP",2020-06-28,98,73.3070538271414,16209.8846153846,24.6929461728586,1.33684270317403
"221","Amapá","AP",2020-07-05,74,72.5582468208398,16215.29918327,1.4417531791602,1.01987028687063
"222","Amapá","AP",2020-07-12,87,71.8538807595151,16220.708991251,15.1461192404849,1.21079055272153
"223","Amapá","AP",2020-07-19,84,71.2121861450819,16226.1141530462,12.7878138549181,1.17957339252112
"224","Amapá","AP",2020-07-26,74,70.6459258399447,16231.5147823744,3.35407416005535,1.04747724826559
"225","Amapá","AP",2020-08-02,74,70.1676140340894,16236.9109929541,3.83238596591063,1.05461758987627
"226","Amapá","AP",2020-08-09,88,69.7896715766745,16242.3028985041,18.2103284233255,1.26093156783692
"227","Amapá","AP",2020-08-16,52,69.5209766986385,16247.690612743,-17.5209766986385,0.747975682582986
"228","Amapá","AP",2020-08-23,62,69.3439762635808,16253.0742493894,-7.34397626358076,0.894093522476043
"229","Amapá","AP",2020-08-30,75,69.2297250863381,16258.4539221621,5.77027491366188,1.08334967250651
"230","Amapá","AP",2020-09-06,58,69.1496415114762,16263.8297447796,-11.1496415114762,0.838760675142101
"231","Amapá","AP",2020-09-13,64,69.0753650563962,16269.2018309608,-5.07536505639617,0.926524238384373
"232","Amapá","AP",2020-09-20,62,68.9791699540934,16274.5702944242,-6.97916995409341,0.898822065288142
"233","Amapá","AP",2020-09-27,72,68.8408979483598,16279.9352488884,3.1591020516402,1.04588990187214
"234","Amapá","AP",2020-10-04,55,68.6462909913886,16285.2968080722,-13.6462909913886,0.801208618931786
"235","Amapá","AP",2020-10-11,72,68.3815184553441,16290.6550856943,3.61848154465585,1.05291607478735
"236","Amapá","AP",2020-10-18,72,68.0331597272977,16296.0101954732,3.96684027270234,1.05830745313907
"237","Amapá","AP",2020-10-25,73,67.5888351834234,16301.3622511277,5.41116481657662,1.08006003953008
"238","Amapá","AP",2020-11-01,67,67.0552322822555,16306.7113663764,-0.0552322822554743,0.999176316591926
"239","Amapá","AP",2020-11-08,81,66.4628640505199,16312.057654938,14.5371359494801,1.21872569226674
"240","Amapá","AP",2020-11-15,78,65.8430135905162,16317.4012305311,12.1569864094838,1.18463593548572
"241","Amapá","AP",2020-11-22,92,65.2259195033888,16322.7422068745,26.7740804966112,1.41048222394504
"242","Amapá","AP",2020-11-29,94,64.640751140008,16328.0806976867,29.359248859992,1.45419102257029
"243","Amapá","AP",2020-12-06,95,64.122428175256,16333.4168166864,30.877571824744,1.48154090079607
"244","Amapá","AP",2020-12-13,89,63.7198891414815,16338.7506775924,25.2801108585185,1.39673814878095
"245","Amapá","AP",2020-12-20,90,63.4833023283381,16344.0823941232,26.5166976716619,1.41769562544993
"246","Amapá","AP",2020-12-27,106,63.4631195302801,16349.4120799976,42.5368804697199,1.67026141772663
"247","Amapá","AP",2021-01-03,56,63.7116260905702,16354.7398489341,-7.71162609057018,0.878960457238878
"248","Amapá","AP",2021-01-03,38,63.7456300649547,16354.7398489341,-25.7456300649547,0.596119294158349
